Time,Ax,Ay,Az,Mx,My,Mz,Gx,Gy,Gz
21:40:40:787,0.027,-0.011,-0.996,-267.300,-70.700,-90.900,0.250,2.562,0.062
21:40:40:913,0.026,-0.011,-0.991,-264.900,-72.900,-93.100,-0.438,2.438,0.125
21:40:41:064,0.028,-0.010,-0.990,-266.600,-71.600,-92.400,0.000,2.875,0.062
21:40:41:205,0.024,-0.011,-0.996,-267.600,-71.800,-93.300,0.375,2.875,0.188
21:40:41:351,0.028,-0.015,-0.996,-265.500,-72.100,-90.900,0.938,3.250,0.188
21:40:41:504,0.026,-0.010,-0.990,-266.600,-72.000,-92.300,-0.500,2.500,0.125
21:40:41:674,0.029,-0.018,-0.999,-266.500,-71.400,-92.700,0.312,3.500,-0.125
21:40:41:817,0.029,-0.011,-0.986,-266.600,-72.200,-91.800,0.438,2.938,0.062
21:40:41:976,0.028,-0.014,-0.992,-266.200,-73.600,-91.600,0.000,2.938,0.250
21:40:42:122,0.026,-0.012,-0.992,-267.500,-70.900,-92.700,-0.250,2.812,0.188
21:40:42:270,0.023,-0.013,-0.995,-267.400,-73.000,-92.000,-0.438,2.438,0.188
21:40:42:433,0.028,-0.011,-0.992,-267.300,-71.100,-93.100,0.062,2.312,-0.062
21:40:42:570,0.025,-0.008,-1.001,-266.400,-73.200,-93.300,0.000,3.188,0.188
21:40:42:727,0.022,-0.012,-0.994,-267.000,-71.700,-92.600,-0.125,2.812,0.062
21:40:42:884,0.024,-0.011,-0.989,-267.200,-72.100,-93.300,0.000,2.875,0.250
21:40:43:046,0.025,-0.011,-1.000,-266.900,-72.200,-91.500,-0.125,2.938,0.125
21:40:43:184,0.029,-0.014,-0.995,-268.100,-72.900,-92.500,0.375,2.875,0.125
21:40:43:350,0.025,-0.010,-0.990,-267.100,-73.100,-91.900,-0.062,3.250,0.062
21:40:43:494,0.026,-0.011,-0.997,-267.000,-71.300,-90.900,0.062,3.062,0.500
21:40:43:649,0.024,-0.011,-0.996,-264.700,-73.200,-91.300,-0.688,2.875,-0.062
21:40:43:799,0.021,-0.011,-0.993,-266.700,-72.000,-93.500,0.062,2.688,-0.062
21:40:43:950,0.026,-0.006,-0.996,-266.400,-73.600,-92.700,0.188,2.812,0.125
21:40:44:111,0.029,-0.012,-0.990,-266.200,-71.400,-90.200,-0.688,2.938,0.188
21:40:44:268,0.028,-0.012,-0.996,-265.800,-72.400,-92.200,-0.312,2.812,0.062
21:40:44:424,0.021,-0.011,-0.988,-264.700,-72.600,-91.000,-0.688,2.438,0.000
21:40:44:576,0.025,-0.009,-0.989,-267.600,-70.900,-90.800,0.312,3.125,0.188
21:40:44:730,0.025,-0.017,-0.996,-266.900,-72.900,-89.900,0.375,3.188,0.062
21:40:44:883,0.027,-0.011,-0.993,-265.400,-71.700,-93.000,0.562,3.312,0.250
21:40:45:018,0.027,-0.011,-0.995,-266.200,-72.700,-90.900,0.312,3.000,0.250
21:40:45:192,0.023,-0.017,-0.990,-266.200,-72.900,-92.800,-0.750,2.750,0.062
21:40:45:338,0.028,-0.013,-0.992,-265.700,-71.900,-92.000,0.312,2.875,0.062
